Timestamp,grade,gpa_change,hrs_sleep_dist,hrs_sleep_irl,learn_faster,school_pref,hrs_hw_dist,hrs_hw_irl,num_classes_dist,num_classes_irl,physical_health,mental_health
11/19/2021 9:00:02,Sophomore,Same,8,7,In-person,In-person,2,3,7,6,Better now,Better now
11/19/2021 9:00:28,Sophomore,Lower,8,7,In-person,In-person,2,3,7,6,Better now,Better now
11/19/2021 9:00:30,Sophomore,Lower,8,7,In-person,In-person,2,3,7,7,Better now,Better now
11/19/2021 9:13:43,Senior,Higher,9,9,In-person,In-person,2,2,6,6,Better now,The same
11/19/2021 9:46:39,Senior,Same,8,7,In-person,In-person,1,2,7,6,Better in quarantine,The same
11/19/2021 9:50:38,Freshman,Lower,6,8,In-person,In-person,1,1,7,7,Better in quarantine,Better in quarantine
11/19/2021 9:54:00,Senior,Lower,9,9,In-person,In-person,2,2,6,6,Better now,Better now
11/19/2021 10:48:42,Junior,Higher,10,10,In-person,In-person,1,3,7,7,The same,Better now
11/19/2021 10:58:51,Freshman,Same,7,8,In-person,In-person,2,3,7,7,Better now,Better now
11/19/2021 11:19:26,Junior,Same,4,8,In-person,In-person,2,3,7,7,Better now,Better now
11/19/2021 11:21:55,Senior,Lower,4,7,In-person,In-person,4,6,7,5,Better now,Better now
11/19/2021 12:36:31,Senior,Same,8,7,In-person,Online,3,4,6,6,Better now,The same
11/19/2021 12:43:52,Senior,Lower,7,7,In-person,In-person,3,3,7,6,The same,Better now
11/19/2021 12:44:40,Junior,Same,9,7,In-person,In-person,4,5,7,6,Better now,Better now
11/19/2021 12:45:35,Junior,Lower,8,6,In-person,In-person,3,4,7,7,Better now,Better in quarantine
11/19/2021 12:47:38,Senior,Higher,9,7,In-person,In-person,1,3,6,7,Better now,Better now
11/19/2021 12:47:41,Senior,Lower,8,8,In-person,In-person,4,3,7,6,Better now,Better now
11/19/2021 12:50:38,Senior,Same,9,9,Online,Online,2,2,5,6,Better now,Better now
11/19/2021 12:50:52,Junior,Same,5,6,In-person,In-person,1,1,7,6,Better now,Better now
11/19/2021 12:51:51,Junior,Higher,9,8,In-person,In-person,1,1,7,6,Better in quarantine,Better now
11/19/2021 13:25:28,Sophomore,Lower,8,7,In-person,In-person,2,5,7,7,Better now,Better in quarantine
11/19/2021 13:54:47,Junior,Higher,8,6,In-person,Online,5,7,7,7,Better now,Better now
11/19/2021 13:55:43,Junior,Higher,8,6,In-person,In-person,3,3,7,7,The same,The same
11/19/2021 14:00:31,Junior,Lower,9,9,In-person,In-person,3,3,7,6,Better now,Better now
11/19/2021 14:08:39,Junior,Lower,7,7,In-person,In-person,5,3,7,6,Better now,Better now
11/19/2021 15:28:37,Freshman,Same,9,7,In-person,In-person,1,2,7,7,Better now,Better now
11/19/2021 16:06:24,Sophomore,Lower,4,7,Online,Online,3,4,7,7,The same,The same
11/19/2021 17:03:57,Senior,Higher,9,8,In-person,In-person,2,3,6,6,Better now,Better now
11/19/2021 20:39:05,Sophomore,Same,8,6,In-person,In-person,3,3,7,7,Better now,Better in quarantine
11/19/2021 21:00:02,Senior,Higher,8,6,Online,In-person,4,5,7,7,Better in quarantine,Better in quarantine
11/20/2021 8:50:15,Junior,Higher,8,7,In-person,In-person,2,4,6,6,Better in quarantine,Better now
11/20/2021 11:16:09,Senior,Higher,7,7,In-person,In-person,3,3,7,6,The same,Better now
11/21/2021 19:36:08,Senior,Higher,7,7,In-person,In-person,2,2,7,7,The same,Better now
11/23/2021 12:03:48,Sophomore,Same,9,7,In-person,In-person,1,2,7,6,The same,Better now
